doc_id,title,source,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
96d0712efeb532,California Siblings Convicted of Drug Conspiracy Charges,FBI - National,2026-03-05,1,153.0,153,153
97142a2a01b5d9,IU Biology Researcher Pleads Guilty to Smuggling E. coli DNA From China Concealed in Clothing Shipment,FBI - National,2026-04-10,1,227.0,227,227
974b113dd77771,FBI Provides Update on March 1 Austin Shooting Investigation,FBI - National,2026-03-06,1,223.0,223,223
987c5e4e6ff653,Kauai Man Sentenced to Federal Prison and Ordered to Repay $1.4 Million for Stealing From Federal COVID-19 Relief Program,FBI - National,2026-04-17,1,164.0,164,164
98cb6822e649cb,West Mifflin Felon Charged with Unlawful Possession of Ammunition,FBI - National,2026-03-10,1,159.0,159,159
98ed55bc65e2eb,Former Assistant Superintendent and Former IT Director of Patterson Joint Unified School District Sentenced to Prison for Stealing Approximately $1.5 Million in Embezzlement Scheme,FBI - National,2026-03-03,1,182.0,182,182
9c0525c0552ae4,Muskogee Resident Sentenced for Assault Resulting in Serious Bodily Injury,FBI - National,2026-04-09,1,168.0,168,168
9c1a48a67b2a08,Charlottesville Man Sentenced for Promoting Commercial Sex Ring,FBI - National,2026-04-14,1,164.0,164,164
9c4549ea1cd643,Man Federally Charged with Assaulting Officers at Dallas Love Field Security Checkpoint,FBI - National,2026-03-13,1,176.0,176,176
9db85332a5c96d,California Man Sentenced to Over Five Years in Federal Prison for Multimillion-Dollar Fraud Scheme Targeting More Than a Dozen Victims,FBI - National,2026-03-10,1,165.0,165,165
9ee128db41883a,Owner of Chicago-Area Convenience Stores Sentenced to Four Years in Prison for Defrauding Low-Income Food Program,FBI - National,2026-03-04,1,157.0,157,157
a1823647a6ecd7,Egyptian National Sentenced for Federal Firearms Offense,FBI - National,2026-04-16,1,163.0,163,163
a476593ed8663c,"Former Nye County Commissioner Indicted for COVID-19 Relief Fraud Totaling More Than $500,000",FBI - National,2026-03-11,1,174.0,174,174
a485e4df90516d,Six Charged in Sumter and Lee County Drug Trafficking Conspiracy,FBI - National,2026-04-15,1,188.0,188,188
a6c27d0f8a3b02,Billings Man Sentenced to Five Years in Prison for Sexual Abuse on the Crow Indian Reservation,FBI - National,2026-04-08,1,163.0,163,163
a89caf8b5c1107,Two Wild 100s Gang Members Convicted of Murder-for-Hire Resulting in Death,FBI - National,2026-03-05,1,176.0,176,176
aa3451ecea3164,Springfield Man Sentenced to Over 12 Years in Prison for Federal Hate Crime Violation,FBI - National,2026-03-03,1,151.0,151,151
aa85d4b69c5e9e,Former St. Louis Building Inspector Accused of $1.6 Million Fraud,FBI - National,2026-03-12,1,163.0,163,163
ab11537e4de5aa,Hays Woman Sentenced to 22 Months in Prison for Assault Resulting in Serious Bodily Injury,FBI - National,2026-03-11,1,153.0,153,153
abc2446ed5eee7,Member of Multi-State 'Smash-and-Grab' Crew Sentenced for Luxury Retail Burglary Spree,FBI - National,2026-04-07,1,155.0,155,155
ad166acb717794,"Five Alleged Drug Traffickers Indicted, Approximately 52 Pounds of Narcotics Seized by Homeland Security Task Force",FBI - National,2026-04-08,1,182.0,182,182
ad7eb5e2293371,Federal Charges Filed in Fatal Houston Heights Carjacking and Shooting,FBI - National,2026-03-10,1,168.0,168,168
af64ac81376fe8,FBI Washington Field Office Statement on the 19th Anniversary of the Abduction of Robert A. Levinson,FBI - National,2026-03-09,1,222.0,222,222
afbfc27f8c8908,York County Man Sentenced to 30 Years in Prison for Production of Child Pornography and Enticement of a Minor to Engage in Illegal Sexual Activity,FBI - National,2026-03-04,1,167.0,167,167
b2578bedeecaea,"Texas Man Sentenced for Monopolizing International Transit Industry, Fixing Prices, and Extorting Competitors",FBI - National,2026-03-13,1,297.0,297,297
b55d068f0118cf,Operation Spring Cleaning: Over 40 Arrests in Coordinated Multi-Agency Crackdown on Violent Crimes in North Alabama,FBI - National,2026-04-22,1,155.0,155,155
b57fbdf1f77185,"Three Crips Members Convicted of Racketeering, Murder, and Other Gang-Related Crimes",FBI - National,2026-04-09,1,176.0,176,176
b59368a32c9213,Previously Deported Mexican Drug Trafficker Sentenced in D.C. for Role in International Fentanyl Conspiracy,FBI - National,2026-03-06,1,170.0,170,170
